,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
414,Monkey Punch no Sekai: Alice,3640,OVA,7,1,Alice,1991-12-13T00:00:00+00:00,,5.45,9595,9701,Action,,Unknown,
415,Monogatari Series: Second Season,17074,TV,9,26,Monogatari Series: Second Season,2013-07-07T00:00:00+00:00,2013-12-29T00:00:00+00:00,8.78,28,223,Mystery,Shaft,Light novel,Summer 2013
416,Mononoke Hime,164,Movie,9,1,Princess Mononoke,1997-07-12T00:00:00+00:00,,8.73,36,85,Action,Studio Ghibli,Original,
417,Mori no Densetsu,2456,Movie,0,1,Legend of the Forest,1987-12-18T00:00:00+00:00,,6.42,6236,9267,Adventure,,Original,
418,Mousou Dairinin,323,TV,8,13,Paranoia Agent,2004-02-03T00:00:00+00:00,2004-05-18T00:00:00+00:00,7.69,1051,484,Mystery,Madhouse,Original,Winter 2004
419,Moyashimon,3001,TV,0,11,,2007-10-12T00:00:00+00:00,2007-12-21T00:00:00+00:00,7.59,1309,1865,Comedy,Telecom Animation Film,Manga,Fall 2007
420,Muramasa,3475,Movie,0,1,Muramasa,1987-08-21T00:00:00+00:00,,6.21,7191,6609,Historical,,Original,
421,Mutant Turtles: Choujin Densetsu-hen,1059,OVA,7,2,,1996-05-21T00:00:00+00:00,,5.28,9928,8150,Action,,Unknown,
422,Namakura Gatana,6654,Movie,6,1,The Dull Sword,1917-06-30T00:00:00+00:00,,5.58,9275,6061,Comedy,,Original,
423,Nandaka Velonica,22381,TV,8,10,,2014-03-10T00:00:00+00:00,2014-03-21T00:00:00+00:00,5.99,8121,10101,Comedy,Cyclone Graphics,Unknown,Winter 2014
424,Natsu e no Tobira,2621,Movie,4,1,,1981-03-20T00:00:00+00:00,,6.08,7789,6625,Drama,Madhouse,Manga,
425,Natsunagu!,40738,TV,0,12,,2020-01-07T00:00:00+00:00,2020-03-24T00:00:00+00:00,5.85,8531,3634,Drama,IMAGICA Lab.,Original,Winter 2020
426,Neko no Ongaeshi,597,Movie,8,1,The Cat Returns,2002-07-20T00:00:00+00:00,,7.82,779,776,Adventure,Studio Ghibli,Other,
427,Nekojiru Gekijou Jirujiru Original,1062,TV,7,27,,1999-07-09T00:00:00+00:00,1999-10-01T00:00:00+00:00,6.48,5893,4953,Action,,Manga,
428,Nekojiru-sou,601,OVA,9,1,Cat Soup,2001-02-21T00:00:00+00:00,,7.34,2142,1969,Comedy,J.C.Staff,Manga,
429,Nekomonogatari: Kuro,15689,TV,8,4,Nekomonogatari Black,2012-12-31T00:00:00+00:00,,7.99,547,301,Comedy,Shaft,Light novel,Fall 2012
430,Neon Genesis Evangelion,30,TV,10,26,Neon Genesis Evangelion,1995-10-04T00:00:00+00:00,1996-03-27T00:00:00+00:00,8.31,213,54,Action,Gainax,Original,Fall 1995
431,Neon Genesis Evangelion: The End of Evangelion,32,Movie,10,1,Neon Genesis Evangelion: The End of Evangelion,1997-07-19T00:00:00+00:00,,8.51,94,201,Sci-Fi,Gainax,Original,
432,Nerima Daikon Brothers,1655,TV,6,12,Nerima Daikon Brothers,2006-01-09T00:00:00+00:00,2006-03-27T00:00:00+00:00,7.33,2212,5335,Comedy,Studio Hibari,Unknown,Winter 2006
433,New Game!,31953,TV,6,12,New Game!,2016-07-04T00:00:00+00:00,2016-09-19T00:00:00+00:00,7.63,1191,388,Game,Doga Kobo,4-koma manga,Summer 2016
434,Ni-hiki no Sanma (1968),29701,Movie,0,1,,1968-01-01T00:00:00+00:00,,5.31,9874,12484,Comedy,,Original,
435,Nichijou,10165,TV,10,26,Nichijou - My Ordinary Life,2011-04-03T00:00:00+00:00,2011-09-25T00:00:00+00:00,8.48,105,147,Slice of Life,Kyoto Animation,Manga,Spring 2011
