,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
153,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,896,Movie,5,1,Dragon Ball Z: The Tree of Might,1990-07-07T00:00:00+00:00,,6.75,4612,1327,Action,Toei Animation,Manga,
154,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,897,Movie,5,1,Dragon Ball Z: Lord Slug,1991-03-09T00:00:00+00:00,,6.61,5273,1475,Action,Toei Animation,Manga,
155,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,898,Movie,5,1,Dragon Ball Z: Cooler's Revenge,1991-07-20T00:00:00+00:00,,7.07,3325,1280,Action,Toei Animation,Manga,
156,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,899,Movie,6,1,Dragon Ball Z: The Return of Cooler,1992-03-07T00:00:00+00:00,,6.85,4185,1388,Action,Toei Animation,Manga,
157,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,900,Movie,6,1,Dragon Ball Z: Super Android 13!,1992-07-11T00:00:00+00:00,,6.91,3946,1448,Action,Toei Animation,Manga,
158,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",901,Movie,5,1,Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06T00:00:00+00:00,,7.36,2075,1164,Action,Toei Animation,Manga,
159,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,902,Movie,7,1,Dragon Ball Z: Bojack Unbound,1993-07-10T00:00:00+00:00,,7.14,3024,1476,Action,Toei Animation,Manga,
160,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,903,Movie,6,1,Dragon Ball Z: Broly – Second Coming,1994-03-12T00:00:00+00:00,,6.84,4235,1357,Action,Toei Animation,Manga,
161,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,904,Movie,6,1,Dragon Ball Z: Bio-Broly,1994-07-09T00:00:00+00:00,,5.94,8256,1465,Action,Toei Animation,Manga,
162,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,905,Movie,8,1,Dragon Ball Z: Fusion Reborn,1995-03-04T00:00:00+00:00,,7.56,1398,1263,Action,Toei Animation,Manga,
163,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,906,Movie,7,1,Dragon Ball Z: Wrath of the Dragon,1995-07-15T00:00:00+00:00,,7.36,2076,1419,Action,Toei Animation,Manga,
164,Dragon Ball Z Movie 14: Kami to Kami,14837,Movie,0,1,Dragon Ball Z: Battle of Gods,2013-03-30T00:00:00+00:00,,7.43,1791,957,Action,Toei Animation,Manga,
165,"Dragon Ball Z Movie 15: Fukkatsu no ""F""",25389,Movie,0,1,Dragon Ball Z: Resurrection 'F',2015-04-18T00:00:00+00:00,,7.13,3049,1213,Action,Toei Animation,Manga,
166,Dragon's Heaven,3135,OVA,7,1,Dragon's Heaven,1988-02-25T00:00:00+00:00,,6.07,7799,5909,Action,AIC,Manga,
167,Dumbbell Nan Kilo Moteru?,39026,TV,5,12,How heavy are the dumbbells you lift?,2019-07-03T00:00:00+00:00,2019-09-18T00:00:00+00:00,7.4,1912,648,Comedy,Doga Kobo,Web manga,Summer 2019
168,Eat-Man,1704,TV,7,12,,1997-01-09T00:00:00+00:00,1997-03-27T00:00:00+00:00,6.47,5946,5256,Action,Studio Deen,Manga,Winter 1997
169,Eguchi Hisashi no Kotobuki Gorou Show,20385,OVA,7,4,,1991-05-21T00:00:00+00:00,1991-11-21T00:00:00+00:00,5.04,10298,10094,Comedy,Studio Pierrot,Manga,
170,Eikyuu Kazoku,1106,Movie,8,1,,1997-04-01T00:00:00+00:00,,5.96,8197,5166,Psychological,Studio 4°C,Unknown,
171,Eizouken ni wa Te wo Dasu na!,39792,TV,10,12,Keep Your Hands Off Eizouken!,2020-01-06T00:00:00+00:00,2020-03-23T00:00:00+00:00,8.18,322,761,Adventure,Science SARU,Manga,Winter 2020
172,Enen no Shouboutai,38671,TV,8,24,Fire Force,2019-07-06T00:00:00+00:00,2019-12-28T00:00:00+00:00,7.72,980,159,Action,David Production,Manga,Summer 2019
173,Evangelion: 1.0 You Are (Not) Alone,2759,Movie,7,1,Evangelion: 1.0 You Are (Not) Alone,2007-09-01T00:00:00+00:00,,8.08,435,351,Action,Khara,Original,
174,Evangelion: 2.0 You Can (Not) Advance,3784,Movie,8,1,Evangelion: 2.0 You Can (Not) Advance,2009-07-27T00:00:00+00:00,,8.35,183,364,Action,Khara,Original,
175,Evangelion: 3.0 You Can (Not) Redo,3785,Movie,7,1,Evangelion: 3.0 You Can (Not) Redo,2012-11-17T00:00:00+00:00,,7.59,1292,527,Action,Khara,Original,
176,Explorer Woman Ray,4252,OVA,7,2,,1989-05-26T00:00:00+00:00,1989-06-23T00:00:00+00:00,5.41,9665,9942,Action,AIC,Unknown,
177,Fantasia,3597,OVA,0,1,Girl from Phantasia,1993-11-26T00:00:00+00:00,,5.48,9524,8835,Comedy,Production I.G,Manga,
178,Fashion,7020,Movie,0,1,,1960-01-01T00:00:00+00:00,,4.46,10648,11222,Comedy,,Original,
179,Fatal Fury: Legend of the Hungry Wolf,1799,OVA,6,1,Fatal Fury: Legend of the Hungry Wolf,1992-12-23T00:00:00+00:00,,6.46,6030,5163,Action,,Game,
180,Fatal Fury: The Motion Picture,504,Movie,5,1,Fatal Fury: The Motion Picture,1994-07-16T00:00:00+00:00,,6.6,5347,4688,Action,,Game,
181,Final Fantasy: The Spirits Within,1361,Movie,0,1,Final Fantasy: The Spirits Within,2001-07-02T00:00:00+00:00,,6.38,6412,1816,Sci-Fi,Square Enix,Game,
182,Five Star Stories,2042,Movie,6,1,The Five Star Stories,1989-03-11T00:00:00+00:00,,6.61,5275,4795,Action,Sunrise,Manga,
183,FLCL,227,OVA,10,6,FLCL,2000-04-26T00:00:00+00:00,2001-03-16T00:00:00+00:00,8.03,485,163,Action,Gainax,Original,
184,Flying Luna Clipper,39020,OVA,8,1,Flying Luna Clipper,1987-10-20T00:00:00+00:00,,5.98,8150,12634,Music,,Original,
185,Flying Witch,31376,TV,7,12,Flying Witch,2016-04-10T00:00:00+00:00,2016-06-26T00:00:00+00:00,7.54,1462,662,Slice of Life,J.C.Staff,Manga,Spring 2016
186,Fushigi na Somera-chan,30746,TV,7,12,,2015-10-07T00:00:00+00:00,2015-12-23T00:00:00+00:00,5.89,8390,4486,Comedy,Seven,4-koma manga,Fall 2015
187,Fushigi no Umi no Nadia,1251,TV,9,39,Nadia: Secret of Blue Water,1990-04-13T00:00:00+00:00,1991-04-12T00:00:00+00:00,7.54,1463,2231,Adventure,Gainax,Original,Spring 1990
188,Future GPX Cyber Formula,1391,TV,6,37,,1991-03-15T00:00:00+00:00,1991-12-20T00:00:00+00:00,7.35,2108,6211,Adventure,Sunrise,Original,Spring 1991
189,Ga no Iru Tokoro,23051,Movie,6,1,A Place Where There Are Moths,2001-01-01T00:00:00+00:00,,4.55,10623,10825,Dementia,,Original,
190,Gabriel DropOut,33731,TV,6,12,Gabriel DropOut,2017-01-09T00:00:00+00:00,2017-03-27T00:00:00+00:00,7.51,1544,375,Comedy,Doga Kobo,Manga,Winter 2017
191,Gake no Ue no Ponyo,2890,Movie,7,1,Ponyo,2008-07-19T00:00:00+00:00,,7.89,667,368,Adventure,Studio Ghibli,Original,
192,Gakuen Handsome,33392,TV,8,12,Gakuen Handsome,2016-10-04T00:00:00+00:00,2016-12-20T00:00:00+00:00,6.58,5435,3091,Comedy,Team YokkyuFuman,Game,Fall 2016
193,Gantz,384,TV,7,13,Gantz,2004-04-13T00:00:00+00:00,2004-06-22T00:00:00+00:00,7.06,3394,468,Action,Gonzo,Manga,Spring 2004
194,Gatchaman,3154,OVA,7,3,,1994-10-01T00:00:00+00:00,1995-04-01T00:00:00+00:00,6.43,6162,7566,Action,Tatsunoko Production,Unknown,
195,Gatchaman Crowds,18229,TV,7,12,Gatchaman Crowds,2013-07-13T00:00:00+00:00,2013-09-28T00:00:00+00:00,7.34,2168,861,Sci-Fi,Tatsunoko Production,Original,Summer 2013
196,Gatchaman Crowds Insight,21039,TV,6,12,Gatchaman Crowds Insight,2015-07-05T00:00:00+00:00,2015-09-27T00:00:00+00:00,7.31,2279,1864,Adventure,Tatsunoko Production,Original,Summer 2015
197,Gatchaman Crowds Insight: Inbound,30925,ONA,7,1,Gatchaman Crowds Insight,2015-06-20T00:00:00+00:00,,7.03,3493,3351,Sci-Fi,Tatsunoko Production,Original,
198,gdgd Fairies,11809,TV,6,12,,2011-10-13T00:00:00+00:00,2011-12-29T00:00:00+00:00,6.81,4350,6784,Comedy,,Original,
199,Gekkan Shoujo Nozaki-kun,23289,TV,8,12,Monthly Girls' Nozaki-kun,2014-07-07T00:00:00+00:00,2014-09-22T00:00:00+00:00,7.99,537,134,Comedy,Doga Kobo,4-koma manga,Summer 2014
200,Genius Party,3508,Movie,7,7,,2007-07-07T00:00:00+00:00,,7.22,2676,2876,Action,Studio 4°C,Original,
201,Genmu Senki Leda,2196,OVA,8,1,Fantastic Adventure Of Yohko: Leda,1985-03-01T00:00:00+00:00,,6.2,7251,6572,Action,Kaname Productions,Original,
202,Genocyber,2775,OVA,7,5,,1994-03-02T00:00:00+00:00,1994-07-21T00:00:00+00:00,5.85,8523,3169,Action,Artmic,Manga,
203,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,2321,OVA,7,7,Giant Robo the Animation: The Day the Earth Stood Still,1992-07-23T00:00:00+00:00,1998-01-25T00:00:00+00:00,7.85,724,3503,Action,Phoenix Entertainment,Manga,
204,Gin no Saji,16918,TV,7,11,Silver Spoon,2013-07-12T00:00:00+00:00,2013-09-20T00:00:00+00:00,8.12,389,603,Comedy,A-1 Pictures,Manga,Summer 2013
205,Ginga Tansa 2100-nen: Border Planet,4917,Special,6,1,Galaxy Investigation 2100: Border Planet,1986-08-24T00:00:00+00:00,,5.93,8279,10877,Sci-Fi,Tezuka Productions,Original,
206,Ginga Tetsudou 999 (Movie),1301,Movie,7,1,Galaxy Express 999,1979-08-04T00:00:00+00:00,,7.58,1338,4095,Sci-Fi,Toei Animation,Manga,
207,Giniro no Kami no Agito,1140,Movie,5,1,Origin: Spirits of the Past,2006-01-07T00:00:00+00:00,,7.12,3104,1857,Adventure,Gonzo,Original,
208,Go! Go! Ackman,6413,OVA,7,1,,1994-01-01T00:00:00+00:00,,6.16,7418,9338,Action,Toei Animation,Manga,
209,Godzilla 1: Kaijuu Wakusei,33783,Movie,5,1,Godzilla: Planet of the Monsters,2017-11-17T00:00:00+00:00,,6.55,5565,2307,Action,Polygon Pictures,Original,
210,Godzilla 2: Kessen Kidou Zoushoku Toshi,36816,Movie,5,1,Godzilla: City on the Edge of Battle,2018-05-18T00:00:00+00:00,,6.72,4763,3039,Action,Polygon Pictures,Original,
211,Godzilla 3: Hoshi wo Kuu Mono,37897,Movie,6,1,Godzilla: The Planet Eater,2018-11-09T00:00:00+00:00,,6.3,6777,3509,Action,Polygon Pictures,Original,
212,Gokiburi-tachi no Tasogare,4210,Movie,6,1,Twilight of the Cockroaches,1987-11-21T00:00:00+00:00,,5.88,8446,9302,Drama,Madhouse,Original,
213,Goku Sayonara Zetsubou Sensei,4872,OVA,7,3,Goodbye Mr. Despair OAD,2008-10-17T00:00:00+00:00,2009-02-17T00:00:00+00:00,7.86,716,2019,Comedy,Shaft,Manga,
214,Golgo 13,1760,Movie,9,1,Golgo 13: The Professional,1983-05-28T00:00:00+00:00,,6.77,4513,4371,Action,Tokyo Movie Shinsha,Manga,
215,Golgo 13: Queen Bee,1761,OVA,7,1,Golgo 13: Queen Bee,1998-05-21T00:00:00+00:00,,6.6,5354,5292,Action,Filmlink International,Manga,
216,Gosho Aoyama's Collection of Short Stories,5578,Special,8,7,,1999-03-17T00:00:00+00:00,1999-12-22T00:00:00+00:00,7.31,2280,6662,Adventure,TMS Entertainment,Unknown,
217,Gundam Build Divers Prologue,37247,ONA,5,1,,2018-02-02T00:00:00+00:00,,6.52,5731,6252,Action,Sunrise,Original,
218,Gundam Build Fighters,19319,TV,7,25,Gundam Build Fighters,2013-10-07T00:00:00+00:00,2014-03-31T00:00:00+00:00,7.81,798,1991,Action,Sunrise,Original,Fall 2013
219,Gundam Build Fighters Try,24625,TV,2,25,Gundam Build Fighters Try,2014-10-08T00:00:00+00:00,2015-04-01T00:00:00+00:00,7.3,2341,2725,Action,Sunrise,Original,Fall 2014
220,Gundam Build Fighters Try: Island Wars,30533,OVA,7,1,,2016-08-21T00:00:00+00:00,,6.82,4329,4981,Action,Sunrise,Original,
221,Gundam: G no Reconguista,23259,TV,7,26,Gundam Reconguista in G,2014-10-03T00:00:00+00:00,2015-03-27T00:00:00+00:00,5.76,8792,3211,Action,Sunrise,Original,Fall 2014
222,Gunnm,1016,OVA,6,2,Battle Angel Alita,1993-06-21T00:00:00+00:00,1993-08-21T00:00:00+00:00,7.09,3223,2329,Drama,Madhouse,Manga,
223,Gurazeni,35183,TV,8,12,Gurazeni: Money Pitch,2018-04-06T00:00:00+00:00,2018-06-22T00:00:00+00:00,6.34,6591,4803,Comedy,Studio Deen,Manga,Spring 2018
224,Gyakkyou Burai Kaiji: Hakairoku-hen,10271,TV,6,26,Kaiji: Against All Rules,2011-04-06T00:00:00+00:00,2011-09-28T00:00:00+00:00,8.25,257,1045,Game,Madhouse,Manga,Spring 2011
225,Gyakkyou Burai Kaiji: Ultimate Survivor,3002,TV,8,26,Kaiji: Ultimate Survivor,2007-10-03T00:00:00+00:00,2008-04-02T00:00:00+00:00,8.28,234,576,Game,Madhouse,Manga,Fall 2007
226,Hachimitsu to Clover,16,TV,8,24,Honey and Clover,2005-04-15T00:00:00+00:00,2005-09-27T00:00:00+00:00,8.07,448,650,Comedy,J.C.Staff,Manga,Spring 2005
227,Hacka Doll The Animation,30721,TV,7,13,Hackadoll The Animation,2015-10-02T00:00:00+00:00,2015-12-25T00:00:00+00:00,6.42,6218,2516,Comedy,Creators in Pack,Other,Fall 2015
228,Hadashi no Gen,1824,Movie,8,1,Barefoot Gen,1983-07-21T00:00:00+00:00,,7.8,816,2666,Drama,Madhouse,Manga,
229,Haibane Renmei,387,TV,9,13,Haibane Renmei,2002-10-10T00:00:00+00:00,2002-12-19T00:00:00+00:00,7.99,538,669,Slice of Life,Radix,Other,Fall 2002
230,Hanamaru Youchien,6574,TV,8,12,Hanamaru Kindergarten,2010-01-11T00:00:00+00:00,2010-03-29T00:00:00+00:00,7.32,2257,1842,Slice of Life,Gainax,Manga,Winter 2010
231,Hanamonogatari,21855,TV,7,5,Hanamonogatari,2014-08-16T00:00:00+00:00,,8.01,516,415,Mystery,Shaft,Light novel,Summer 2014
232,Hataraku Maou-sama!,15809,TV,6,13,The Devil is a Part-Timer!,2013-04-04T00:00:00+00:00,2013-06-27T00:00:00+00:00,7.85,725,60,Comedy,White Fox,Light novel,Spring 2013
233,HeatGuy J,958,TV,6,25,HeatGuy J,2002-10-02T00:00:00+00:00,2003-03-26T00:00:00+00:00,7.18,2839,4009,Action,Satelight,Original,Fall 2002
234,HeatGuy J Special,1774,Special,6,1,HeatGuy J Special,2003-09-26T00:00:00+00:00,,7.03,3496,8359,Action,Satelight,Original,
235,Heya Camp△,38476,TV,6,12,Room Camp,2020-01-06T00:00:00+00:00,2020-03-23T00:00:00+00:00,7.16,2929,1958,Slice of Life,C-Station,Manga,Winter 2020
236,Heya/Keitai,23061,Movie,0,1,Gestalt,1999-01-01T00:00:00+00:00,,5.65,9087,11155,Fantasy,,Original,
237,Hi no Tori,1371,TV,7,13,Bird of Fire,2004-03-21T00:00:00+00:00,2004-06-27T00:00:00+00:00,7.11,3135,5443,Adventure,Tezuka Productions,Manga,Spring 2004
238,Hi no Tori: Houou-hen,2997,Movie,0,1,Phoenix: Karma Chapter,1986-12-20T00:00:00+00:00,,6.9,4005,7939,Drama,Madhouse,Manga,
239,Hibike! Euphonium,27989,TV,10,13,Sound! Euphonium,2015-04-08T00:00:00+00:00,2015-07-01T00:00:00+00:00,8.01,517,406,Music,Kyoto Animation,Novel,Spring 2015
240,Hibike! Euphonium 2,31988,TV,9,13,Sound! Euphonium 2,2016-10-06T00:00:00+00:00,2016-12-29T00:00:00+00:00,8.3,220,895,Music,Kyoto Animation,Novel,Fall 2016
241,Hibike! Euphonium: Kakedasu Monaka,31665,Special,8,1,"Sound! Euphonium Episode 14 – Ready, Set, Monaka",2015-12-16T00:00:00+00:00,,7.47,1659,2477,Drama,Kyoto Animation,Novel,
242,Hidamari Sketch,1852,TV,8,12,Hidamari Sketch,2007-01-12T00:00:00+00:00,2007-03-30T00:00:00+00:00,7.45,1729,1813,Comedy,Shaft,4-koma manga,Winter 2007
243,Hidamari Sketch Specials,3165,Special,8,2,,2007-10-18T00:00:00+00:00,,7.54,1470,3746,Slice of Life,Shaft,4-koma manga,
244,Hidamari Sketch x 365,3604,TV,6,13,Hidamari Sketch x 365,2008-07-04T00:00:00+00:00,2008-09-26T00:00:00+00:00,7.84,748,3059,Slice of Life,Shaft,4-koma manga,Summer 2008
245,High School Agent,18557,OVA,7,2,,1987-07-01T00:00:00+00:00,1987-10-02T00:00:00+00:00,5.54,9384,10680,Action,J.C.Staff,Manga,
246,High School! Kimengumi (Movie),5956,Movie,7,1,,1986-07-12T00:00:00+00:00,,6.09,7719,11326,Comedy,,Manga,
247,High Score Girl,21877,TV,6,12,,2018-07-14T00:00:00+00:00,2018-09-29T00:00:00+00:00,7.92,640,909,Game,J.C.Staff,Manga,Summer 2018
248,Highlander: The Search for Vengeance,2178,Movie,6,1,,2007-02-14T00:00:00+00:00,,6.76,4585,4092,Action,Madhouse,Unknown,
249,Himouto! Umaru-chan,28825,TV,7,12,Himouto! Umaru-chan,2015-07-09T00:00:00+00:00,2015-09-24T00:00:00+00:00,7.2,2764,244,Comedy,Doga Kobo,Manga,Summer 2015
250,Hipira-kun,7723,TV,7,10,,2009-12-21T00:00:00+00:00,2009-12-25T00:00:00+00:00,6.13,7533,7801,Comedy,Sunrise,Picture book,Fall 2009
251,Hipira-kun ONA,22983,ONA,7,2,,2010-04-07T00:00:00+00:00,,5.71,8924,11004,Comedy,Sunrise,Unknown,
252,Hipira-kun Special,22985,Special,7,1,,2014-01-29T00:00:00+00:00,,5.74,8855,11752,Comedy,Sunrise,Unknown,
253,Hokuto no Ken Movie,1358,Movie,7,1,Fist of the North Star: The Movie,1986-03-08T00:00:00+00:00,,7.2,2765,3886,Sci-Fi,Toei Animation,Unknown,
254,Hoshi no Koe,256,OVA,2,1,Voices of a Distant Star,2002-02-02T00:00:00+00:00,,7.24,2590,1070,Sci-Fi,CoMix Wave Films,Original,
255,Hoshiai no Sora,37972,TV,9,12,Stars Align,2019-10-11T00:00:00+00:00,2019-12-27T00:00:00+00:00,7.51,1547,1433,Slice of Life,8bit,Original,Fall 2019
256,Howl no Ugoku Shiro,431,Movie,7,1,Howl's Moving Castle,2004-11-20T00:00:00+00:00,,8.67,48,96,Adventure,Studio Ghibli,Novel,
257,Hulaing Babies,34332,TV,9,12,,2019-01-11T00:00:00+00:00,2019-03-29T00:00:00+00:00,5.91,8339,7443,Slice of Life,Gaina,Original,Winter 2019
258,Hyouka,12189,TV,8,22,Hyouka,2012-04-23T00:00:00+00:00,2012-09-17T00:00:00+00:00,8.15,351,76,Mystery,Kyoto Animation,Novel,Spring 2012
259,Hyouka: Motsubeki Mono wa,13469,OVA,7,1,,2012-07-08T00:00:00+00:00,,7.37,2024,1082,Mystery,Kyoto Animation,Light novel,
260,Id:Invaded,40046,TV,7,13,ID: INVADED,2020-01-06T00:00:00+00:00,2020-03-23T00:00:00+00:00,7.92,641,773,Mystery,NAZ,Original,Winter 2020
261,Ike! Ina-chuu Takkyuubu,914,TV,5,26,The Ping-Pong Club,1995-04-06T00:00:00+00:00,1995-09-28T00:00:00+00:00,7.58,1341,4223,Comedy,Studio Hibari,Manga,Spring 1995
262,Inferno Cop,16774,ONA,8,13,,2012-12-25T00:00:00+00:00,2013-03-19T00:00:00+00:00,7.29,2372,1552,Action,Trigger,Original,
263,Innocence,468,Movie,9,1,Ghost in the Shell 2: Innocence,2004-03-06T00:00:00+00:00,,7.83,762,1055,Military,Production I.G,Manga,
264,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,731,Music,8,1,,2003-12-01T00:00:00+00:00,,8.13,377,2033,Adventure,Toei Animation,Music,
265,Itou Junji: Collection,36124,TV,5,12,The Junji Ito Collection,2018-01-05T00:00:00+00:00,2018-03-23T00:00:00+00:00,6.16,7424,1483,Mystery,Studio Deen,Manga,Winter 2018
266,Jin-Rou,570,Movie,7,1,Jin-Roh: The Wolf Brigade,2000-06-03T00:00:00+00:00,,7.79,838,1152,Military,Production I.G,Manga,
267,Jinrui wa Suitai Shimashita,10357,TV,9,12,Humanity Has Declined,2012-07-02T00:00:00+00:00,2012-09-17T00:00:00+00:00,7.79,839,897,Comedy,AIC ASTA,Light novel,Summer 2012
268,Jinzou Ningen Kikaider The Animation,598,TV,6,13,Android Kikaider,2000-10-16T00:00:00+00:00,2001-01-08T00:00:00+00:00,6.99,3644,5183,Action,Radix,Unknown,Fall 2000
269,JoJo no Kimyou na Bouken,666,OVA,7,6,JoJo's Bizarre Adventure,1993-11-19T00:00:00+00:00,1994-11-18T00:00:00+00:00,7.34,2173,1756,Adventure,APPP,Manga,
270,JoJo no Kimyou na Bouken (TV),14719,TV,8,26,JoJo's Bizarre Adventure,2012-10-06T00:00:00+00:00,2013-04-06T00:00:00+00:00,8.12,392,78,Action,David Production,Manga,Fall 2012
271,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,20899,TV,7,24,JoJo's Bizarre Adventure: Stardust Crusaders,2014-04-05T00:00:00+00:00,2014-09-13T00:00:00+00:00,8.14,364,145,Action,David Production,Manga,Spring 2014
272,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,26055,TV,8,24,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,2015-01-10T00:00:00+00:00,2015-06-20T00:00:00+00:00,8.47,108,173,Action,David Production,Manga,Winter 2015
273,Joshikousei no Mudazukai,38619,TV,7,12,Wasteful Days of High School Girl,2019-07-05T00:00:00+00:00,2019-09-20T00:00:00+00:00,7.71,1005,1757,Comedy,Passione,Web manga,Summer 2019
274,Jumping,2211,Movie,8,1,,1984-06-01T00:00:00+00:00,,6.49,5864,7058,Adventure,,Original,
275,Juubee Ninpuuchou,617,Movie,7,1,Ninja Scroll,1993-06-05T00:00:00+00:00,,7.62,1228,1349,Adventure,Madhouse,Original,
276,K-On!,5680,TV,7,13,K-ON!,2009-04-03T00:00:00+00:00,2009-06-26T00:00:00+00:00,7.84,753,105,Music,Kyoto Animation,4-koma manga,Spring 2009
277,K-On! Movie,9617,Movie,8,1,K-ON! The Movie,2011-12-03T00:00:00+00:00,,8.34,191,599,Music,Kyoto Animation,4-koma manga,
278,K-On!!,7791,TV,8,26,K-ON! Season 2,2010-04-07T00:00:00+00:00,2010-09-29T00:00:00+00:00,8.15,352,227,Comedy,Kyoto Animation,4-koma manga,Spring 2010
279,K-On!!: Keikaku!,9734,Special,7,1,,2011-03-16T00:00:00+00:00,,7.85,729,1439,Comedy,Kyoto Animation,Original,
280,K-On!: Live House!,6862,Special,7,1,,2010-01-19T00:00:00+00:00,,7.84,754,1165,Comedy,Kyoto Animation,4-koma manga,
281,Kabukichou Sherlock,38161,TV,3,24,Case File nº221: Kabukicho,2019-10-12T00:00:00+00:00,2020-03-28T00:00:00+00:00,6.93,3864,1825,Mystery,Production I.G,Original,Fall 2019
282,Kago Shintarou Anime Sakuhin Shuu,10003,OVA,0,15,,2008-01-01T00:00:00+00:00,,5.04,10300,6892,Comedy,,Original,
283,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,37999,TV,8,12,Kaguya-sama: Love is War,2019-01-12T00:00:00+00:00,2019-03-30T00:00:00+00:00,8.44,125,99,Comedy,A-1 Pictures,Manga,Winter 2019
284,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,40591,TV,9,12,Kaguya-sama: Love is War Season 2,2020-04-11T00:00:00+00:00,2020-06-27T00:00:00+00:00,8.79,25,202,Comedy,A-1 Pictures,Manga,Spring 2020
285,Kaiba,3701,TV,9,12,Kaiba,2008-04-11T00:00:00+00:00,2008-07-25T00:00:00+00:00,8.17,338,1234,Adventure,Madhouse,Original,Spring 2008
286,Kakegurui,34933,TV,7,12,Kakegurui: Compulsive Gambler,2017-07-01T00:00:00+00:00,2017-09-23T00:00:00+00:00,7.46,1709,110,Game,MAPPA,Manga,Summer 2017
287,Kakegurui××,37086,TV,7,12,,2019-01-09T00:00:00+00:00,2019-03-27T00:00:00+00:00,7.38,2004,344,Drama,MAPPA,Manga,Winter 2019
288,Kakushigoto (TV),40716,TV,7,12,Kakushigoto,2020-04-02T00:00:00+00:00,2020-06-18T00:00:00+00:00,8.03,486,815,Slice of Life,Ajia-Do,Manga,Spring 2020
289,Kamen Rider SD Kaiki?! Kumo Otoko,3100,OVA,6,1,,1993-01-23T00:00:00+00:00,,6.22,7144,10107,Action,,Unknown,
290,Kamichu!,489,TV,8,12,Kamichu!,2005-06-29T00:00:00+00:00,2005-09-27T00:00:00+00:00,7.4,1924,2176,Comedy,Brain's Base,Original,Summer 2005
291,Kamichu! Specials,3449,Special,8,4,The Goddess is a Middle School Student,2005-11-23T00:00:00+00:00,2006-03-29T00:00:00+00:00,7.5,1581,4860,Slice of Life,Brain's Base,Original,
292,Kamui no Ken,496,Movie,8,1,,1985-03-09T00:00:00+00:00,,6.61,5287,6209,Adventure,Madhouse,Novel,
293,Kanashimi no Belladonna,3220,Movie,10,1,Belladonna of Sadness,1973-06-30T00:00:00+00:00,,7.12,,3401,Dementia,Mushi Production,Book,
294,"Kanojo, Okarishimasu",40839,TV,8,12,Rent-a-Girlfriend,2020-07-11T00:00:00+00:00,2020-09-26T00:00:00+00:00,7.38,2005,395,Comedy,TMS Entertainment,Manga,Summer 2020
295,Karakuri no Kimi,1658,OVA,6,1,Puppet Princess,2000-03-24T00:00:00+00:00,,6.49,5866,6194,Action,TMS Entertainment,Manga,
296,Karigurashi no Arrietty,7711,Movie,8,1,The Secret World of Arrietty,2010-07-17T00:00:00+00:00,,7.96,588,634,Fantasy,Studio Ghibli,Novel,
297,Katanagatari,6594,TV,8,12,Katanagatari,2010-01-26T00:00:00+00:00,2010-12-11T00:00:00+00:00,8.37,171,275,Action,White Fox,Light novel,Winter 2010
298,Katte ni Kaizou,10191,OVA,7,6,,2011-05-23T00:00:00+00:00,2011-10-26T00:00:00+00:00,6.92,3932,3087,Comedy,Shaft,Manga,
